condition_clean,avg_rating,review_count
"sinus infection, bronchitis",10.0,1
cervical disk degeneration and lower back pain,10.0,1
high total cholesterol,10.0,1
hypercholesterolemia,10.0,1
prolactinoma,10.0,1
dry eyes,10.0,2
for allergic condition and there after begning of,10.0,1
insulin resistance,10.0,1
back stiffness,10.0,1
chronic fatigue syndrome,10.0,2
general depression/perimenopause,10.0,1
"severe stomach pains, dizziness",10.0,1
chronic sinus infections,10.0,1
lower back pain,10.0,1
severe melasma,10.0,1
maigrains,10.0,1
sparse eyelashes,10.0,1
rapid cycling bi polar,10.0,1
thyroid cancer,10.0,1
stomach ulcers,10.0,1
recurrent colds,10.0,1
"asthma, emphysema",10.0,1
severe non-allergic bronchitis and cough,10.0,1
mitral  valve prolapse,10.0,1
headake,10.0,1
metastasized ovarian cancer/chemotherapy,10.0,1
acne/wrinkles,10.0,1
gerd - gastroesophageal reflux disease,10.0,1
sinus problems,10.0,1
adult  add,10.0,1
adult onset acne,10.0,1
can't sleep,10.0,1
allergy/asthma,10.0,1
"insomnia, anxiety",10.0,1
"overeating, weight gain",10.0,1
"depression, clinical level",10.0,1
post cosmetic surgery complications,10.0,1
anxiety and panic diorder,10.0,1
"migraines, back spasm, insomnia",10.0,1
extra heartbeat,10.0,1
gerd (gastroesophogeal reflux disease),10.0,1
to help quit smoking cigarettes,10.0,1
depression/add,10.0,1
"after 42 years, quit smoking",10.0,1
restless legs,10.0,1
idiopathic excema,10.0,1
"birth control, acne control",10.0,1
stomach pain,10.0,1
sciatica pain/bulging discs,10.0,1
bursitis and tennis elbow,10.0,1
post surgery stomach pain,10.0,1
trigeminal neuralgia plus spinal stenosis etc,10.0,1
fungus,10.0,1
nasal allergies,10.0,2
hemorrhagic cystitis,10.0,1
anxiety attacks when driving,10.0,1
ptsd,10.0,2
allergy - pollen/food syndrome,10.0,1
hiatal hernia,10.0,1
poison ivy,10.0,1
grow lashes,10.0,1
post operative antibiotic,10.0,1
schizo-affective disorder,10.0,1
swine flu,10.0,2
ac joint dislocation,10.0,1
symptoms of menopause,10.0,1
cocaine dependency,10.0,1
type ii diabetes mellitus,10.0,1
minor acne,10.0,1
hashimotos syndrome - hypothyroid symptoms,10.0,1
high cholestoral,10.0,1
fybromyalgia,10.0,1
ingrown toenails,10.0,1
insomia,10.0,1
conjunctivitis,10.0,1
menstrual cramps,10.0,2
high colesteral,10.0,1
tourette syndrome,10.0,1
anxiety related to severe pms,10.0,1
mild depression,10.0,2
athletes foot,10.0,1
gastritis,10.0,2
hepatitis b,10.0,1
atopic eczema,10.0,1
extreme hot flashes,10.0,1
hormone replacement,10.0,3
"obsessive compulsive disorder, panic disorder, gad",10.0,1
o increase length and fullness of eyelashes,10.0,1
extrinsic aging,10.0,1
neural pain,10.0,1
shingles breakout,10.0,1
grave's disease,10.0,1
situational atypical depression,10.0,1
recurring cold sores,10.0,1
"bipolar disorder, ocd behaviors",10.0,1
heart palpitations,10.0,1
tennis elbow,10.0,1
depression; intrusive suicidal impulses,10.0,1
nerve painn,10.0,1
bipolar 2-extreme moods swings,10.0,1
impotence,10.0,1
underactive thyroid,10.0,2
itching,10.0,1
restlessness,10.0,1
urinary infection,10.0,1
simple partial seizure,10.0,1
menopausal hot flashes,10.0,1
depression/difficulty sleeping,10.0,1
hormone and for prevention of osteoporosis,10.0,1
subungal hematoma,10.0,2
"anxiety, depression, panic attacks",10.0,1
razor bumps,10.0,1
pregnancy avoidance,10.0,1
heratburn,10.0,1
rheumatoi arthritis,10.0,1
high cholestral,10.0,1
stress,10.0,1
hbp,10.0,1
"panic disorder, agoraphobia",10.0,1
pain and depression,10.0,1
ldl cholesterol,10.0,1
flu symptoms,10.0,1
hay fever type allergy reactions,10.0,1
excessive fatigue,10.0,1
facial skin,10.0,1
"sle (lupus), rheumatoid arthritis",10.0,1
severe peridontal disease,10.0,2
joint/muscular issues - fibro,10.0,1
birth control pill,10.0,1
rotator cuff tear,10.0,1
wakefulness -- difficulty falling back asleep,10.0,1
hypothyroid problem,10.0,1
severe migraine,10.0,1
uti prevention,10.0,1
migraine/tension headaches/sleep,10.0,1
increase dopmaine levels,10.0,1
bi-polar / anxiety,10.0,1
ezema on my hands,10.0,1
hyhpothyroidism,10.0,1
hormonal acne/sun damage,10.0,1
post-menopausal osteopenia,10.0,1
herpes cold sores around mouth and nose,10.0,1
anti-malarial,10.0,1
environmental allergies,10.0,1
severe pms and menstrual pain,10.0,1
itching/psosiasis,10.0,1
conjunctivitus,10.0,1
hypthyroidsim,10.0,1
"hyper pigmentation, wrinkles",10.0,1
blood thinning/ circulation during pregnancy,10.0,1
hepatitis c,10.0,1
low under active thyroid,10.0,1
hypercholesterolemia w/ low ldl,10.0,1
back pain/depression,10.0,1
waking early,10.0,1
cold sore,10.0,1
high level of prolactin,10.0,1
anti-depressant,10.0,1
"vaginal dryness, night sweats",10.0,1
eye infection,10.0,1
male andropause,10.0,1
basal cell carcinoma,10.0,1
"hives, itching, swelling due to allergies",10.0,1
strep  throat,10.0,1
eczyma,10.0,1
rare kidney infection,10.0,1
hypothyriodism--hashimoto's thyroiditis,10.0,1
"serotonin imbalance, mood swings",10.0,1
post surgery antibiotic,10.0,1
wrinkling aroung the eyes and lips,10.0,1
originally sleep apnea,10.0,1
fungal growth on feet,10.0,1
frequent urination,10.0,1
migraine relief,10.0,1
diabetese,10.0,1
"crashing fatigue, hot flashes, mood swings",10.0,1
chronic severe insomnia,10.0,1
excess stomach acid.,10.0,1
family flu outbreak,10.0,1
atypical hyperplasia in breast and hypothyrodism,10.0,1
excess acidity,10.0,1
localized acne,10.0,1
"dysthymia ( chronic, low grade depression )",10.0,1
tia's - anxiety,10.0,1
shift disorder,10.0,1
menopausal,10.0,3
add & anxiety,10.0,1
swollen knee,10.0,1
opiate dependence,10.0,1
irregular periods,10.0,1
inflamation 10 years after surgery,10.0,1
greater depression,10.0,1
"hot flashes, depression",10.0,1
cellulitis,10.0,1
eustachian tube pain,10.0,1
rash under nasal area,10.0,1
"stress, feeling overwhelmed",10.0,1
cesarean,10.0,1
nightly leg pain,10.0,1
migrain,10.0,1
h-pylori,10.0,1
birthcontrol,10.0,1
menopause - hrt,10.0,1
hsv1,10.0,1
bronchial infection,10.0,1
sore heel and arthritis,10.0,1
obsessional thoughts ocd,10.0,1
crohn's with fistula in ano,10.0,1
anxiety due to relationship stress,10.0,1
20 year pack a day smoker,10.0,1
anti-rejection,10.0,1
fatigue from rheumatoid arthiritis,10.0,1
"narcolepsy, sleep apnea, bipolar disorder",10.0,1
cold / flu,10.0,1
palpitations,10.0,1
"aging skin, few break-outs, hyperpigmentation",10.0,1
keratosis pilaris,10.0,1
hiatal hernia and ileocecal valve syndrome,10.0,1
high blood presure,10.0,1
severe knee pain,10.0,1
earache,10.0,1
hypothroidism after radioactive iodine,10.0,1
sleeplessness associated with depression,10.0,1
unregulated periods,10.0,1
anxiety and mild depression,10.0,1
cardiomyopathy,10.0,1
skin aging,10.0,1
skin breakouts/birth control,10.0,1
always crying,10.0,1
qit smoking,10.0,1
post surgery extreme pain,10.0,1
low back pain/herniated disk/sciatic pain,10.0,1
cold chills and hot flashes,10.0,1
schizo-affect/bi-polar,10.0,1
"hot flashes, headaches, fatigue, dry vagina",10.0,1
diverticulitis / kidney infection,10.0,1
neck/shoulder spasms,10.0,1
contraceptive,9.666666666666666,3
reduce cholesterol,9.5,2
depression & anxiety,9.5,2
situational anxiety,9.5,2
htn,9.5,2
asthmatic bronchitis,9.5,2
muscle spasm,9.5,2
difficulty sleeping,9.5,2
chest infection,9.5,2
hrt,9.5,2
restless legs syndrome,9.5,2
high cholestrol,9.333333333333334,3
psoriatic arthritis,9.333333333333334,3
elevated cholesterol,9.333333333333334,3
kidney infection,9.25,4
extremely severe anxiety,9.0,1
chest infection (viral),9.0,1
thyroid,9.0,3
severe allergies,9.0,2
opiate addiction,9.0,2
mild arthritis in knees,9.0,1
chronic dry eyes,9.0,1
allergy induced asthma,9.0,1
high cholesteol,9.0,1
pancreatitis,9.0,1
muslce inflammation,9.0,1
sleep problems,9.0,1
psychotic symptoms,9.0,1
"acne, photoaging",9.0,1
skin aging/sun damage,9.0,1
muscle strain,9.0,1
progesterone balance,9.0,1
osteoporsis,9.0,1
pink eye,9.0,1
perioral dermamtitis,9.0,1
anxiety/panic attacks/,9.0,1
incontinence,9.0,3
arthritis in knees,9.0,1
severe acne,9.0,2
diarrhoea/ibs,9.0,1
increase follicle production prior to iui,9.0,1
osteopenia associated with menopause,9.0,1
weightloss,9.0,3
supra ventricular tachycardia,9.0,1
dvt,9.0,1
running nose,9.0,1
allergy to trauma to the face.,9.0,1
hypothyroidsim,9.0,1
ed,9.0,6
sore lower back,9.0,1
cat bite,9.0,1
erectile dysfunction,9.0,4
thinning hair and balding,9.0,1
ankylosing spondylitis,9.0,6
menapause,9.0,1
"add, depression",9.0,1
scoliosis,9.0,1
"swollen lymph nodes, sick",9.0,1
"seizure, hbp, cholesterol",9.0,1
"insomnia, chronic pain",9.0,1
mrsa,9.0,1
atrial frbulation,9.0,1
dermatitis ( peri-oral),9.0,1
appetite control,9.0,1
pmd,9.0,1
hair growth,9.0,1
slow thyroid  & irregular period,9.0,1
high interoccular pressure,9.0,1
severe performance anxiety,9.0,1
epilpsy,9.0,1
high level anxiety/depression,9.0,1
spinal injury,9.0,1
acne and contraception,9.0,1
teeth extractions,9.0,1
sciatica and low back pain,9.0,1
rhumitoid arthritis,9.0,1
rls,9.0,2
mood swings,9.0,1
appetite suppression,9.0,1
bipolar disorder 2,9.0,1
gerd/acid reflux,9.0,1
perioral dermatitis,9.0,3
insulin dependent diabetes mellitus,9.0,1
sinus allergies/infection,9.0,1
thyroid disease,9.0,1
hyperactive nerves and chronic small seizures,9.0,1
high blood pressue --  diuretic,9.0,1
major chronic depressive disorder,9.0,1
muscular pain - arm,9.0,1
chronic daily headache,9.0,1
partial hysterectomy,9.0,1
fatigue / malaise due to infections,9.0,1
interstitial cystitis,9.0,1
severe indigestion diagnosed as possible ulcer,9.0,1
high blood pressure & left ventricular hypertrophy,9.0,1
high cholerterol,9.0,1
hypercholestremia,9.0,1
depression/binge eating,9.0,1
hyperthyroidism,9.0,3
anti-aging prophilatic,9.0,1
toothache,9.0,1
hair thinning,9.0,1
narcolepsy,9.0,5
poor sleep with frequent wakefulness,9.0,1
diet,9.0,1
to help sleep,9.0,1
essential tremor,9.0,1
depression/stress,9.0,1
persistant migraines,9.0,1
panic attack,9.0,1
insomnia/poor sleep quality,9.0,1
osteo-arthritis,9.0,1
"insomnia, and arthrtis",9.0,1
overactive bladder,9.0,4
prevent menstral migranes,9.0,1
abdominal pain,9.0,1
laryngopharyngeal reflux,9.0,2
fever and tonsilitis,9.0,1
asthma/allergies,9.0,2
alcohol addiction,9.0,1
sever depression,9.0,1
possible ulcer and acid reflux,9.0,1
lyme disease,9.0,1
"cut on knee from fall,waited too long to get stmus",9.0,1
post -surgery,9.0,1
peptic ulcer,9.0,1
cold sore on side of face,9.0,1
chronic pain from disk hernia in cervical spine,9.0,1
spastic bladder,9.0,1
tmj - inflamation,9.0,1
depression (atypical),9.0,1
weak bladder  wet bed,9.0,1
acne/dull skin,9.0,1
repair and prevent wrinkles,9.0,1
bph,9.0,3
serious acne,9.0,1
post partum depression,9.0,1
allergy reaction on the face incl swollen face,9.0,1
major clinical depression,9.0,1
hypothyroidsm,9.0,1
depresion anxiety obsessive behavior,9.0,1
pinched nerves,9.0,1
pain relief,9.0,1
hair less,9.0,1
panic attacks and depression,9.0,1
cervical spondylosis,9.0,1
refractory depression,9.0,1
anxiety/ mild depression,9.0,1
age spots on hand,9.0,1
sleep disorder/anxiety,9.0,1
depression/ cfs,9.0,1
"\"chronic \"\"atypical\"\" depression\"",9.0,1
ear infection and upper respiratory infection,9.0,1
metabolic disorder,9.0,1
"pregnancy prevention, cycle regulation",9.0,1
photoaging,9.0,1
anti seizure,9.0,1
fluid retention increased bp,9.0,1
barretts disease,9.0,1
atypical breast biopsy,9.0,1
bronkitis,9.0,1
male pattern hair loss,9.0,1
gastric esophogeal reflux disease,9.0,1
heart racing and fluttering,9.0,1
chronic pain from degenerative lumbar disc disease,9.0,1
post breast cancer,9.0,1
cold sores/fever blisters,9.0,1
sinus congestion,9.0,1
neuropathy / anklosing spondylytis,9.0,1
depression/bipolar affective component,9.0,1
nausea/vomiting,9.0,1
irregular menses,9.0,1
facial lines,9.0,1
bipolar 2,9.0,1
bipolar/mixed manic episodes/severe depression,9.0,1
ankylosing spondalytis,9.0,1
swine flu like illness in a pandemic,9.0,1
attention deficit disorder (inattentive type),9.0,1
2 compressed discs in neck,9.0,1
inattention  and disorganization,9.0,1
sinus congestion / allergies,9.0,1
acne/anti-agin,9.0,1
gastro esophageal reflux disease (gerd),9.0,1
uterine fibroids/heavy bleeding,9.0,1
hypertention,9.0,1
hormone balance,9.0,1
severe depression< agrophobia & other phobias,9.0,1
urge incontinence and bladder spasm,9.0,1
"overweight, self confidence",9.0,1
irritable bowel syndrom,9.0,1
lashes,9.0,1
"sleep disorder, insomnia",9.0,1
chronic insomnia,9.0,1
severe clinical depression,9.0,1
hypothroidism,9.0,1
acne and red marks from acne,9.0,1
perenniel rhinitis,9.0,1
dandruff,9.0,1
sore throat/dryness,9.0,1
muscle pain and stiffness due to fibromyalgia,9.0,1
gonorrhea,9.0,1
oral infection and swelling,9.0,1
birth control/ regular periods.,9.0,1
post shoulder surgery pain,9.0,1
vertigo,9.0,1
contact dermatitis,9.0,1
polymyalgia,9.0,1
poor sleep quality,9.0,1
performance anxiety / social anxiety,9.0,1
hyperpigmatation,9.0,1
leg pain from compressed spinal cord,9.0,1
cure for acne,9.0,1
constant coughing due to mucous,9.0,1
muscle pain/spasms - legs,9.0,1
"menopausal symptoms - hot flashes, sleep disturban",9.0,1
add and depression,9.0,1
functional dyspepsia,9.0,1
anxiety/ panic attacks/ insomnia,9.0,1
tachacarrdia  rapid heartbeat,9.0,1
sleeping problems,9.0,1
pcos/ irregular periods,9.0,1
relapsing/remitting multiple sclerosis,9.0,1
gerd with laryngeal spasms,9.0,1
excessive fears,9.0,1
improvement of skin appearance/health,9.0,1
sinus/ lung infection from a cold,9.0,1
allergic rash,9.0,1
hormonal imbalances and pregnancy prevention,9.0,1
slight loss of calcium in hip area,9.0,1
depression/dysthymia,9.0,1
menapouse,9.0,1
bi-polar,9.0,2
gad - generalised anxiety disorder.,9.0,1
tempromandibular joint dysfunction (tmj),9.0,1
severe headache,9.0,1
severe abcessed tooth,9.0,1
"vaginal dryness, menopausal symptoms",9.0,1
gastroenteritis,9.0,1
major depression/anxiety,9.0,1
achilles tendonitis,9.0,1
acne & sun damaged skin,9.0,1
"narcolepsy, fibromyalgia",9.0,1
hypertension (high blood pressure),9.0,1
ostheoporosis prevention,9.0,1
bone loss,9.0,1
tiredness,9.0,1
"uneven skin colour, anti-aging",9.0,1
ankle sprain,9.0,1
"depression, fatigue",9.0,1
metabolic syndrome x,9.0,1
cold sores,8.875,8
glaucoma,8.833333333333334,6
tachycardia,8.75,4
vaginal dryness,8.75,4
restless leg syndrome,8.75,8
chronic pain,8.666666666666666,3
major depression,8.666666666666666,3
type 2 diabetes,8.666666666666666,3
genital herpes,8.6,5
panic attacks,8.6,10
rheumatoid arthritis,8.578947368421053,19
adult add,8.571428571428571,7
adult acne,8.555555555555555,9
obsessive compulsive disorder,8.5,2
inflamed neck muscles,8.5,2
high cholesteral,8.5,2
congestion,8.5,2
"anxiety, ocd",8.5,2
shingles,8.5,4
acne vulgaris,8.5,2
acne and wrinkles,8.5,2
heart burn,8.5,4
attention deficit disorder,8.4,5
neck pain,8.333333333333334,3
chronic sinusitis,8.333333333333334,3
smoking,8.272727272727273,11
pcos,8.25,4
bi-polar disorder,8.25,4
panic disorder,8.25,8
migraine headaches,8.214285714285714,14
seasonal allergies,8.1,10
menopause,8.05,20
hypothyroidism,8.029411764705882,34
fibromyalgia and myofacial pain,8.0,1
chronic pain due to neck injury and surgeries,8.0,1
pre-barrett (errosion of the esophagus),8.0,1
severe cold sores,8.0,1
severe dry eyes,8.0,1
anxiety induced palpitations,8.0,1
opiate dependency,8.0,1
stressfull live change,8.0,1
wanted to drop about 30 lbs,8.0,1
arthritic joint pain/carpal tunnel,8.0,1
sciatic nerve pain,8.0,1
chronic tension headache,8.0,1
obesity,8.0,12
cholesterol problems,8.0,1
"mild acne, white heads",8.0,1
chronic depression,8.0,2
high ldl,8.0,1
severe asthma,8.0,1
mild sedative,8.0,1
"kidney pain, difficult urination",8.0,1
skin,8.0,1
manic depression,8.0,1
chronic idiopathic urthicaria with pruritis,8.0,1
plantar faciatis,8.0,1
mood stabilization,8.0,1
"menopause symptoms such as hot flashes,sleeplessne",8.0,1
prevention of diabetes,8.0,1
insomnia - early awakening,8.0,1
elevated glucose,8.0,1
pain - chronic panceatitis,8.0,1
painkiller after surgery,8.0,1
throat infection and cough,8.0,1
depression with anxiety,8.0,1
"arthritis pain, neck injury",8.0,1
complex regional pain sydrome,8.0,1
"irritated and sore throat,nose,eyes and sneezing.",8.0,1
acne & rosacea,8.0,1
sleeplessness - depression,8.0,1
skin problem,8.0,1
depression/panic disorder,8.0,1
asthma flares,8.0,1
acid reflux / barrett's esophagus,8.0,1
facial,8.0,1
insomnia due to peri-menopause,8.0,1
hypothyroid,8.0,16
bipolar disorder ii,8.0,2
sparse thin eyelashes,8.0,1
"hair loss, receding hairline",8.0,1
mrsa skin infection,8.0,1
myalgic encephalomyelitis/cfs,8.0,1
sinus infections,8.0,1
rashes,8.0,1
to achieve a smoother skin surface,8.0,1
chronic cough and allergies,8.0,1
borreliosis,8.0,1
chronic cold sores,8.0,1
"wrinkles, furrows",8.0,1
lyme ? or unknown,8.0,1
migaine/tension headches,8.0,1
bacterial growth,8.0,1
mycoplasma bronchitis,8.0,1
nerve damage/ acdf surgery,8.0,1
osteoarthritis,8.0,1
infected site of oreal surgery,8.0,1
hair lose,8.0,1
generalized anxiety disorder,8.0,3
anxiety and depression,8.0,9
redness,8.0,1
sprained ankle,8.0,1
bipolar/raciness/insomnia,8.0,1
"allergies, sinus congestion",8.0,1
inability to fall asleep easily,8.0,1
anxiety/mild ptsd,8.0,1
hysterectomy,8.0,5
airplane flight anxiety,8.0,1
perennial rhinitis,8.0,1
earache/sinusitis,8.0,1
bipolar i,8.0,1
sleeping disorder,8.0,1
serve acne,8.0,1
major sinus infection,8.0,1
cold,8.0,1
high lpa,8.0,1
elevated cholesterol level,8.0,1
irregularity/no babies!,8.0,1
longer eyelashes,8.0,1
post traumatic stress syndrom,8.0,1
sinus allergy,8.0,1
allergies and asthma,8.0,1
allergic reaction,8.0,2
"epilepsy, depression and pain",8.0,1
menstrual migraines,8.0,1
discoloration,8.0,1
chronic tension headaches/ mild depression,8.0,1
cervical osteoarthritis,8.0,1
thyroid goiter,8.0,2
esophogeal strictures,8.0,1
hairloss,8.0,5
acne with cystic fibrosis genetic condition,8.0,1
multiple sclerosis,8.0,6
hypothyroid - hashimoto's disease,8.0,1
oral contraceptive,8.0,1
"ostoarthritis, severe body and joint pains",8.0,1
sleep walking/talking,8.0,1
fine wrinkles,8.0,1
acne - blackheads and acne scars,8.0,1
dyspepsia,8.0,1
menstrual cramping,8.0,1
heart,8.0,2
depression and anxiety.,8.0,1
nerve damage from brachial plexitus,8.0,1
hypertension/high blood pressure,8.0,1
acid reflux,8.0,35
"melasma, unevean skin tone, ocasionally pimples",8.0,1
"hay fever, allergies",8.0,1
yeast diaper rash,8.0,1
burn from motorcycle accident,8.0,1
pre-menepause,8.0,1
broken collarbone,8.0,1
tinnitus,8.0,1
estrogen replacement therapy,8.0,1
nausea after eating,8.0,1
severe low back pain that went down right leg.,8.0,1
daytime drowsiness,8.0,1
insomnia and anxiety,8.0,1
mytral valve prolapse,8.0,1
fine lines/wrinkles,8.0,1
ibs/anxiety,8.0,1
"tendonitis of the foot, specifially big toe",8.0,1
sleeping aid,8.0,1
bi-polar 2,8.0,1
pigmentatation,8.0,1
nasal polyps,8.0,3
anxiety disorder,8.0,3
skin correction,8.0,1
anti-aging,8.0,1
acute peptic ulcer,8.0,1
complete hysterectomy,8.0,1
a boil,8.0,1
bladder pressure,8.0,1
"acne, aging",8.0,1
muscle spasms (upper back/neck),8.0,1
drug addiction,8.0,1
post menopause,8.0,1
sun damage to skin,8.0,1
phneumonia,8.0,1
narcolepsy/cataplexy,8.0,1
control of menstrual periods,8.0,1
ms-related fatigue,8.0,1
"skin agind, sun damage",8.0,1
pcos/insulin resistance,8.0,1
stress/insomnia,8.0,1
"anxiety, mild depression",8.0,1
moderate persisting acne,8.0,1
low hdl,8.0,1
prevention of pregnancy/lighter periods,8.0,1
fever blisters,8.0,1
anti-wrinkle,8.0,1
mild to moderate depression,8.0,1
hot flash sleep problems,8.0,1
muscle relaxant - spinal disorder,8.0,1
eye allergies,8.0,1
birth control/period regularity,8.0,1
budging disk in neck,8.0,1
juvenile rheumatoid arthritis,8.0,1
"acne, melasma",8.0,1
hand pain,8.0,1
post trauma depression,8.0,1
anxiety/ depression,8.0,1
"originally depression, later for chronic pain",8.0,1
migraine prevention,8.0,3
acne scarring & hyperpigmentation,8.0,1
"adrenal burnout, chronic fatigue & premature agin",8.0,1
eostrogen-positive breast cancer,8.0,1
m.r.s.a.,8.0,1
nerve pain - great skin sensitivity,8.0,1
acid reflux/chronic bronchitis,8.0,1
erictile dysfunction,8.0,1
daily migraines 2-3 times a day,8.0,1
stopping smoking,8.0,1
whiteheads,8.0,1
central sleep apnea related fatigue,8.0,1
pain after dental surgery,8.0,1
cognitive enhancement,8.0,1
sun damage removal,8.0,1
ringworm/pityriasis,8.0,1
smoking ceasation,8.0,1
reduce wrinkles,8.0,1
hashimoto's thyroiditis,8.0,1
"depression, irritability",8.0,1
"nerve damage, 1 nerve near mouth during surgery",8.0,1
gout,8.0,1
infection (in ear),8.0,1
diabetic,8.0,1
low thyroid levels,8.0,1
depression;,8.0,1
alcohol withdrawal,8.0,1
problems with my prostate,8.0,1
hypothyroid deficiency,8.0,1
sinus infection due to seasonal allergy,8.0,1
cancer,8.0,1
hard time getting asleep,8.0,1
"anxiety, hopelessness",8.0,1
respiratory infection,8.0,1
"depression, ptsd fatigue",8.0,1
slipped disc in back,8.0,1
chronic nerve pain from back surgery,8.0,1
indigestion and check pain,8.0,1
dermatitis herpetiformis,8.0,1
roseasa,8.0,1
seizure-1st and only at age 41,8.0,1
facial herpes simplex,8.0,1
hypothryoid-related dry skin,8.0,1
polycystic ovarian syndrome,8.0,1
"initially, acne; later, anti-wrinkle",8.0,1
"over eating, reduce wieght gain",8.0,1
migraine headache,8.0,1
seasonal allergy,8.0,1
cholesterol levels,8.0,1
narcolepcy,8.0,1
polymorphous light eruption (pmle),8.0,1
muscle spasm/neck and upper back pain,8.0,1
skin damage,8.0,1
acne and sun damage,8.0,1
heart problem,8.0,1
sever muscle spasms lower back,8.0,1
seizure,8.0,1
anxiety/ibs,8.0,1
nasal allergy,8.0,1
rosacea/acne,8.0,1
water in ear,8.0,1
collar bone injury,8.0,1
"anti-aging, acne",8.0,1
severe back pain resulting from a herniated disc,8.0,1
chronic leg pain due to trauma & surgeries,8.0,1
"birth control, menstrual cramps",8.0,1
75 mg,8.0,1
head injuries,8.0,1
major depressive disorder/ anxiety,8.0,1
cluster headache,8.0,1
acne  and scarring,8.0,1
"nerve pain, fibromyalgia",8.0,1
mrsa abcess,8.0,1
addh,8.0,1
glacoma,8.0,1
very high cholestrol level 9.1,8.0,1
mania,8.0,1
tension in jaw and bruxism (grinding of teeth),8.0,1
aging skin on face,8.0,1
plugged up nose related to seasonal allergies,8.0,1
"allergies, congested and runny nose",8.0,1
"streptoccocus:severe sore throat,high fever(104.4)",8.0,1
depression/post-partum,8.0,1
weight,8.0,1
musculoskeletal pain; nerve pain,8.0,1
pain from pinched nerve,8.0,1
panic disorder and anxiety,8.0,1
baldness,8.0,1
inflammatory arthritis,8.0,1
migraines,7.96969696969697,33
migraine,7.923076923076923,39
anxiety/depression,7.888888888888889,9
headache,7.875,8
epilepsy,7.833333333333333,6
gerd,7.826086956521739,23
male pattern baldness,7.8,5
reflux,7.8,5
herpes,7.8,10
fatigue,7.75,4
weight loss,7.684210526315789,19
pigmentation,7.666666666666667,3
blood pressure,7.666666666666667,6
over weight,7.666666666666667,6
psoriasis,7.666666666666667,6
adult adhd,7.666666666666667,3
ibs,7.666666666666667,3
surgical menopause,7.6,5
